id,questions
0,What type of activity is a push-up exercise?
0,What equipment is needed for push-ups?
0,Which part of the body does the push-up exercise target?
0,"What type of push-up is this, and what is its general description?"
0,Which muscle groups are activated during push-ups?
1,What type of exercise are Squats?
1,What equipment is needed to perform Squats?
1,What part of the body do Squats primarily target?
1,What type of movement is involved in Squats?
1,What muscle groups are engaged during Squats and how are they activated?
2,What is the name of the exercise?
2,What type of activity is Plank?
2,What equipment is needed for this exercise?
2,What part of the body does Plank target?
2,Can you provide the instructions to perform Plank exercise?
3,"What type of strength exercise involves using a barbell and targets the lower body with a pulling motion, primarily activating the glutes, hamstrings, and lower back?"
3,What should be the distance between my feet when standing in the starting position for a deadlift exercise?
3,What equipment is needed for performing the deadlift exercise?
3,"What are the steps to lift the barbell in a deadlift, starting from the bending position?"
3,Which muscle groups are mainly involved and get activated during the deadlift exercise?
4,What is the name of the strength exercice that uses dumbbells and targets the upper body?
4,What type of movement is involved in the bicep curls exercise?
4,What body part is primarily targeted during this exercise?
4,Which muscle groups does this exercise activate?
4,How should I position my arms and elbows while performing bicep curls?
5,"What type of activity is the Kettlebell Swing, is it more focused on cardio or strength training?"
5,What equipment is needed to perform the Kettlebell Swing exercise?
5,Which part of the body is primarily targeted during the Kettlebell Swing?
5,"What type of movement is involved in the Kettlebell Swing, is it a push or a pull?"
5,Which muscle groups are primarily activated during the Kettlebell Swing?
6,What is the name of the exercise that focuses on pushing weights overhead using dumbbells?
6,What type of physical activity is the Shoulder Press?
6,What equipment is required for this exercise?
6,Which part of the body does the Shoulder Press mainly target?
6,What muscle groups are primarily activated during this exercise: Deltoids or Triceps?
7,What type of activity is the Lat Pulldown exercise?
7,What type of equipment is required for the Lat Pulldown?
7,Which body part does the Lat Pulldown primarily focus on?
7,What type of pull motion is involved in the Lat Pulldown?
7,Which muscle groups are primarily activated during the Lat Pulldown?
8,What is the name of the exercise that focuses on stretching the hamstrings using bodyweight?
8,What type of activity is the Hamstring Stretch?
8,What equipment is required for the Hamstring Stretch?
8,Which part of the body does the Hamstring Stretch target?
8,"How should I perform the Hamstring Stretch, including the leg with the elevated heel?"
9,What type of exercise are Jumping Jacks?
9,What equipment is needed for Jumping Jacks?
9,Which parts of the body are mainly involved in Jumping Jacks?
9,What type of movement is performed during Jumping Jacks?
9,Which muscle groups are activated while doing Jumping Jacks?
10,What type of exercise is a Bench Press?
10,What equipment is needed for a Bench Press?
10,Which part of the body does the Bench Press target?
10,What type of push movement is the Bench Press?
10,Which muscle groups does the Bench Press activate?
11,What type of activity is the Lunges exercise?
11,What type of equipment is required for the Lunges exercise?
11,Which body part does the Lunges exercise target?
11,What type of movement is involved in the Lunges exercise?
11,Which muscle groups are activated during the Lunges exercise?
12,What type of strength activity is a Pull-Up?
12,What equipment is needed for Pull-Ups?
12,Which part of the body does the Pull-Up exercise?
12,What type of movement is involved in Pull-Ups?
12,What muscle groups are activated during Pull-Ups?
13,What is the name of the exercise that works the Core using bodyweight with a pushing motion?
13,Is Mountain Climbers considered a Cardio or Strength activity?
13,"What muscle groups are activated during Mountain Climbers, including the one in the hip?"
13,What is the starting position for Mountain Climbers and how do I alternate my knees?
13,"Which type of exercise is Mountain Climbers, a plank variation or a leg exercise?"
14,What type of activity is the Leg Raises exercise?
14,What type of equipment is required for the Leg Raises exercise?
14,Which part of the body does the Leg Raises exercise target?
14,What type of strength training is the Leg Raises exercise?
14,Which muscle groups are activated during the Leg Raises exercise?
15,What type of exercise is a Tricep Dip?
15,On what type of equipment is this exercise performed?
15,Which part of the body does this exercise target?
15,What type of push movement is involved in Tricep Dips?
15,What muscle groups are primarily activated during this exercise?
16,What is the name of the exercise that targets the core region using bodyweight?
16,What type of activity is the Russian Twists exercise?
16,Which specific muscles will be activated while doing Russian Twists?
16,"What is the correct position for the Russian Twists exercise, including knee position and back posture?"
16,What should I do with my hands while twisting my torso during the Russian Twists exercise?
17,"What type of exercise are Burpees, are they Cardio or Strength?"
17,What equipment do I need to perform Burpees?
17,What body part(s) are primarily involved in Burpees?
17,Which muscle groups are activated during Burpees?
17,What are the step-by-step instructions to correctly perform Burpees?
18,What type of exercise is Dumbbell Rows?
18,What equipment is needed for Dumbbell Rows?
18,Which part of the body does Dumbbell Rows target?
18,What type of movement is involved in Dumbbell Rows?
18,Which muscle groups are activated during Dumbbell Rows?
19,What exercise is called Goblet Squats and what type of activity is it?
19,What equipment is needed for Goblet Squats?
19,What part of the body does Goblet Squats primarily target?
19,"What type of movement is Goblet Squats, push or pull?"
19,What are the steps to perform Goblet Squats correctly?
